formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
SmGa2,191,Hexagonal,P6/mmm,6/mmm
ErPt2,227,Cubic,Fd-3m,m-3m
ScPt3,221,Cubic,Pm-3m,m-3m
Te3As2,12,Monoclinic,C2/m,2/m
ZrNi3,194,Hexagonal,P6_3/mmc,6/mmm
NiP2,15,Monoclinic,C2/c,2/m
MnP4,2,Triclinic,P-1,-1
CuSe,194,Hexagonal,P6_3/mmc,6/mmm
Ge4Ir,152,Trigonal,P3_121,32
La3Se4,220,Cubic,I-43d,-43m
TiN,225,Cubic,Fm-3m,m-3m
Co2B,140,Tetragonal,I4/mcm,4/mmm
GeMo3,223,Cubic,Pm-3n,m-3m
LuGa3,221,Cubic,Pm-3m,m-3m
SrSi2,212,Cubic,P4_332,432
AgO,66,Orthorhombic,Cccm,mmm
TaSe2,194,Hexagonal,P6_3/mmc,6/mmm
SrIr2,227,Cubic,Fd-3m,m-3m
Sm2Tl,194,Hexagonal,P6_3/mmc,6/mmm
RhPb2,140,Tetragonal,I4/mcm,4/mmm
TlS,140,Tetragonal,I4/mcm,4/mmm
LaF3,139,Tetragonal,I4/mmm,4/mmm
Zr2Ni,140,Tetragonal,I4/mcm,4/mmm
ScAl,221,Cubic,Pm-3m,m-3m
HfFe2,227,Cubic,Fd-3m,m-3m
LaF3,185,Hexagonal,P6_3cm,6mm
BaGa4,139,Tetragonal,I4/mmm,4/mmm
SmCo2,227,Cubic,Fd-3m,m-3m
PuBe13,226,Cubic,Fm-3c,m-3m
UMn2,227,Cubic,Fd-3m,m-3m
PbF4,139,Tetragonal,I4/mmm,4/mmm
SmTe,225,Cubic,Fm-3m,m-3m
PrN,225,Cubic,Fm-3m,m-3m
BN,9,Monoclinic,Cc,m
BaTe,225,Cubic,Fm-3m,m-3m
BaN2,15,Monoclinic,C2/c,2/m
TbGe2,65,Orthorhombic,Cmmm,mmm
Nb3Si,221,Cubic,Pm-3m,m-3m
FeP,62,Orthorhombic,Pnma,mmm
DySb,225,Cubic,Fm-3m,m-3m
NiHg,221,Cubic,Pm-3m,m-3m
SrSi6,63,Orthorhombic,Cmcm,mmm
MnB4,71,Orthorhombic,Immm,mmm
ZrMn2,194,Hexagonal,P6_3/mmc,6/mmm
ZrMn2,194,Hexagonal,P6_3/mmc,6/mmm
PuGe2,141,Tetragonal,I4_1/amd,4/mmm
Zr3O,182,Hexagonal,P6_322,622
YNi2,227,Cubic,Fd-3m,m-3m
TaRh3,221,Cubic,Pm-3m,m-3m
K2S,225,Cubic,Fm-3m,m-3m
Ho2Co17,194,Hexagonal,P6_3/mmc,6/mmm
Lu,194,Hexagonal,P6_3/mmc,6/mmm
V,229,Cubic,Im-3m,m-3m
Se,148,Trigonal,R-3,-3
Ge,69,Orthorhombic,Fmmm,mmm
Si,227,Cubic,Fd-3m,m-3m
Fe,225,Cubic,Fm-3m,m-3m
Tl,225,Cubic,Fm-3m,m-3m
Mg,194,Hexagonal,P6_3/mmc,6/mmm
N2,198,Cubic,P2_13,23
Gd,194,Hexagonal,P6_3/mmc,6/mmm
La,225,Cubic,Fm-3m,m-3m
P,64,Orthorhombic,Cmce,mmm
As,64,Orthorhombic,Cmce,mmm
Nd,225,Cubic,Fm-3m,m-3m
B,166,Trigonal,R-3m,-3m
B,166,Trigonal,R-3m,-3m
Si,194,Hexagonal,P6_3/mmc,6/mmm
Cs,229,Cubic,Im-3m,m-3m
As,221,Cubic,Pm-3m,m-3m
Hf,229,Cubic,Im-3m,m-3m
Ir,225,Cubic,Fm-3m,m-3m
Co,225,Cubic,Fm-3m,m-3m
Hf,194,Hexagonal,P6_3/mmc,6/mmm
Sb,166,Trigonal,R-3m,-3m
Te,51,Orthorhombic,Pmma,mmm
Pu,229,Cubic,Im-3m,m-3m
U,229,Cubic,Im-3m,m-3m
Si,69,Orthorhombic,Fmmm,mmm
As,166,Trigonal,R-3m,-3m
Mg,229,Cubic,Im-3m,m-3m
Ne,225,Cubic,Fm-3m,m-3m
Y,194,Hexagonal,P6_3/mmc,6/mmm
Tc,194,Hexagonal,P6_3/mmc,6/mmm
Pu,225,Cubic,Fm-3m,m-3m
PdF2,136,Tetragonal,P4_2/mnm,4/mmm
NdCd,221,Cubic,Pm-3m,m-3m
PrPt2,227,Cubic,Fd-3m,m-3m
CeMg,221,Cubic,Pm-3m,m-3m
LaSb,225,Cubic,Fm-3m,m-3m
LiAl,227,Cubic,Fd-3m,m-3m
CuS2,205,Cubic,Pa-3,m-3
HfSi2,63,Orthorhombic,Cmcm,mmm
CdSe,186,Hexagonal,P6_3mc,6mm
Nb5Ga13,65,Orthorhombic,Cmmm,mmm
CaCd,221,Cubic,Pm-3m,m-3m
RbSi,218,Cubic,P-43n,-43m
SmNi5,191,Hexagonal,P6/mmm,6/mmm
KB6,221,Cubic,Pm-3m,m-3m
B2Ru,59,Orthorhombic,Pmmn,mmm
CaCd2,194,Hexagonal,P6_3/mmc,6/mmm
V3S4,12,Monoclinic,C2/m,2/m
LaOs2,227,Cubic,Fd-3m,m-3m
SbPd,194,Hexagonal,P6_3/mmc,6/mmm
Mg5Ga2,72,Orthorhombic,Ibam,mmm
NO2,14,Monoclinic,P2_1/c,2/m
ReB2,194,Hexagonal,P6_3/mmc,6/mmm
ErB2,191,Hexagonal,P6/mmm,6/mmm
SnAu,194,Hexagonal,P6_3/mmc,6/mmm
UN2,225,Cubic,Fm-3m,m-3m
Li15Ge4,220,Cubic,I-43d,-43m
BeO,216,Cubic,F-43m,-43m
ScRh,221,Cubic,Pm-3m,m-3m
NdRu2,227,Cubic,Fd-3m,m-3m
ScSe,225,Cubic,Fm-3m,m-3m
MnS,216,Cubic,F-43m,-43m
CsF,225,Cubic,Fm-3m,m-3m
PrSb,225,Cubic,Fm-3m,m-3m
Ti3Au,223,Cubic,Pm-3n,m-3m
TiAl,123,Tetragonal,P4/mmm,4/mmm
P3N5,44,Orthorhombic,Imm2,mm2
ErCu,221,Cubic,Pm-3m,m-3m
TmGa2,74,Orthorhombic,Imma,mmm
SrTe,225,Cubic,Fm-3m,m-3m
PuO2,225,Cubic,Fm-3m,m-3m
Li2O,225,Cubic,Fm-3m,m-3m
TiAg,123,Tetragonal,P4/mmm,4/mmm
NbRh,123,Tetragonal,P4/mmm,4/mmm
Cu3As,220,Cubic,I-43d,-43m
TaTe2,12,Monoclinic,C2/m,2/m
La2O3,164,Trigonal,P-3m1,-3m
NbSb2,12,Monoclinic,C2/m,2/m
HoCu,221,Cubic,Pm-3m,m-3m
NbGa3,139,Tetragonal,I4/mmm,4/mmm
CeB4,127,Tetragonal,P4/mbm,4/mmm
TmN,225,Cubic,Fm-3m,m-3m
PtO2,164,Trigonal,P-3m1,-3m
Pd7Se2,14,Monoclinic,P2_1/c,2/m
UB4,127,Tetragonal,P4/mbm,4/mmm
HgPt,123,Tetragonal,P4/mmm,4/mmm
B6As,166,Trigonal,R-3m,-3m
Mg3Ru2,213,Cubic,P4_132,432
La4Rh3,220,Cubic,I-43d,-43m
NpSe,225,Cubic,Fm-3m,m-3m
Zr2Co,140,Tetragonal,I4/mcm,4/mmm
TiC,225,Cubic,Fm-3m,m-3m
TmCo2,227,Cubic,Fd-3m,m-3m
LaSn3,221,Cubic,Pm-3m,m-3m
HgS,152,Trigonal,P3_121,32
ScRh3,221,Cubic,Pm-3m,m-3m
YB4,127,Tetragonal,P4/mbm,4/mmm
SrZn5,191,Hexagonal,P6/mmm,6/mmm
US2,62,Orthorhombic,Pnma,mmm
Mo3Pt,223,Cubic,Pm-3n,m-3m
Cu6Sn5,15,Monoclinic,C2/c,2/m
LuAl2,227,Cubic,Fd-3m,m-3m
TiIr,123,Tetragonal,P4/mmm,4/mmm
NdAg,221,Cubic,Pm-3m,m-3m
UGe2,65,Orthorhombic,Cmmm,mmm
Sb3Ir,204,Cubic,Im-3,m-3
HoS,225,Cubic,Fm-3m,m-3m
BaAg2,191,Hexagonal,P6/mmm,mmm
Ga2O3,167,Trigonal,R-3c,-3m
SrGe2,62,Orthorhombic,Pnma,mmm
Sr2N,166,Trigonal,R-3m,-3m
