steps,values
0,0.5770295858383179
1,0.6112995743751526
2,0.6399403810501099
3,0.6526366472244263
4,0.6549415588378906
5,0.6569042205810547
6,0.6639255881309509
7,0.6686723828315735
8,0.6794517040252686
9,0.6847462058067322
10,0.6919806003570557
11,0.7087922692298889
12,0.70991051197052
13,0.7132348418235779
14,0.7207735180854797
15,0.7402704954147339
16,0.749383807182312
17,0.7588775157928467
18,0.7706608772277832
19,0.7700523138046265
20,0.7899677753448486
21,0.8079128861427307
22,0.8237357139587402
23,0.8410266637802124
24,0.8559442162513733
25,0.8817246556282043
26,0.8963075280189514
27,0.9089353084564209
28,0.9161012172698975
29,0.9278237819671631
