steps,values
0,2.677125930786133
1,2.094472646713257
2,1.7029081583023071
3,1.3473117351531982
4,1.0197244882583618
5,0.7547653317451477
6,0.5372730493545532
7,0.3902112543582916
8,0.2760792374610901
9,0.17779020965099335
10,0.09248711168766022
11,0.07164953649044037
12,0.03619394451379776
13,0.04095799848437309
14,0.012313315644860268
15,0.005764690227806568
16,0.001136597478762269
17,0.001332767540588975
18,0.0006504753837361932
19,0.0005929339095018804
20,0.00047906104009598494
21,0.00047652755165472627
22,0.0004044747620355338
23,0.000387997948564589
24,0.00036483979783952236
25,0.00036033804644830525
26,0.00034155772300437093
27,0.0003345132863614708
28,0.000331883697072044
29,0.0003256085910834372
