individual,value,group
1,300,Triclinic
2,300,Triclinic
3,211,Monoclinic
4,300,Monoclinic
5,300,Monoclinic
6,300,Monoclinic
7,300,Monoclinic
8,300,Monoclinic
9,300,Monoclinic
10,300,Monoclinic
11,300,Monoclinic
12,300,Monoclinic
13,300,Monoclinic
14,300,Monoclinic
15,300,Monoclinic
16,8,Orthorhombic
17,23,Orthorhombic
18,132,Orthorhombic
19,300,Orthorhombic
20,222,Orthorhombic
21,84,Orthorhombic
22,33,Orthorhombic
23,20,Orthorhombic
24,37,Orthorhombic
25,300,Orthorhombic
26,289,Orthorhombic
27,4,Orthorhombic
28,19,Orthorhombic
29,300,Orthorhombic
30,22,Orthorhombic
31,300,Orthorhombic
32,26,Orthorhombic
33,300,Orthorhombic
34,41,Orthorhombic
35,103,Orthorhombic
36,300,Orthorhombic
37,25,Orthorhombic
38,300,Orthorhombic
39,27,Orthorhombic
40,147,Orthorhombic
41,79,Orthorhombic
42,128,Orthorhombic
43,262,Orthorhombic
44,300,Orthorhombic
45,33,Orthorhombic
46,197,Orthorhombic
47,300,Orthorhombic
48,5,Orthorhombic
49,16,Orthorhombic
50,7,Orthorhombic
51,222,Orthorhombic
52,174,Orthorhombic
53,62,Orthorhombic
54,42,Orthorhombic
55,300,Orthorhombic
56,90,Orthorhombic
57,300,Orthorhombic
58,300,Orthorhombic
59,300,Orthorhombic
60,300,Orthorhombic
61,300,Orthorhombic
62,300,Orthorhombic
63,300,Orthorhombic
64,300,Orthorhombic
65,300,Orthorhombic
66,58,Orthorhombic
67,72,Orthorhombic
68,38,Orthorhombic
69,157,Orthorhombic
70,297,Orthorhombic
71,300,Orthorhombic
72,288,Orthorhombic
73,50,Orthorhombic
74,300,Orthorhombic
75,17,Tetragonal
76,44,Tetragonal
77,4,Tetragonal
78,13,Tetragonal
79,29,Tetragonal
80,18,Tetragonal
81,41,Tetragonal
82,300,Tetragonal
83,32,Tetragonal
84,33,Tetragonal
85,77,Tetragonal
86,98,Tetragonal
87,300,Tetragonal
88,299,Tetragonal
89,5,Tetragonal
90,6,Tetragonal
91,34,Tetragonal
92,143,Tetragonal
94,5,Tetragonal
95,59,Tetragonal
96,66,Tetragonal
97,40,Tetragonal
98,17,Tetragonal
99,235,Tetragonal
100,61,Tetragonal
101,1,Tetragonal
102,46,Tetragonal
103,4,Tetragonal
104,4,Tetragonal
105,20,Tetragonal
106,3,Tetragonal
107,300,Tetragonal
108,42,Tetragonal
109,90,Tetragonal
110,24,Tetragonal
111,37,Tetragonal
112,9,Tetragonal
113,137,Tetragonal
114,68,Tetragonal
115,290,Tetragonal
116,18,Tetragonal
117,19,Tetragonal
118,43,Tetragonal
119,282,Tetragonal
120,15,Tetragonal
121,241,Tetragonal
122,300,Tetragonal
123,300,Tetragonal
124,29,Tetragonal
125,61,Tetragonal
126,20,Tetragonal
127,300,Tetragonal
128,138,Tetragonal
129,300,Tetragonal
130,103,Tetragonal
131,74,Tetragonal
132,21,Tetragonal
133,13,Tetragonal
134,14,Tetragonal
135,50,Tetragonal
136,300,Tetragonal
137,154,Tetragonal
138,30,Tetragonal
139,300,Tetragonal
140,300,Tetragonal
141,300,Tetragonal
142,189,Tetragonal
143,183,Trigonal
144,51,Trigonal
145,30,Trigonal
146,300,Trigonal
147,213,Trigonal
148,300,Trigonal
149,29,Trigonal
150,144,Trigonal
151,15,Trigonal
152,135,Trigonal
153,8,Trigonal
154,40,Trigonal
155,212,Trigonal
156,300,Trigonal
157,41,Trigonal
158,15,Trigonal
159,98,Trigonal
160,300,Trigonal
161,240,Trigonal
162,105,Trigonal
163,137,Trigonal
164,300,Trigonal
165,133,Trigonal
166,300,Trigonal
167,300,Trigonal
169,24,Hexagonal
170,10,Hexagonal
171,3,Hexagonal
172,1,Hexagonal
173,300,Hexagonal
174,242,Hexagonal
175,6,Hexagonal
176,300,Hexagonal
177,5,Hexagonal
178,22,Hexagonal
179,2,Hexagonal
180,48,Hexagonal
181,37,Hexagonal
182,68,Hexagonal
183,13,Hexagonal
184,4,Hexagonal
185,124,Hexagonal
186,300,Hexagonal
187,300,Hexagonal
188,44,Hexagonal
189,300,Hexagonal
190,67,Hexagonal
191,300,Hexagonal
192,15,Hexagonal
193,300,Hexagonal
194,300,Hexagonal
195,8,Cubic
196,3,Cubic
197,42,Cubic
198,300,Cubic
199,53,Cubic
200,85,Cubic
201,58,Cubic
202,31,Cubic
203,67,Cubic
204,226,Cubic
205,300,Cubic
206,130,Cubic
208,3,Cubic
209,2,Cubic
210,2,Cubic
211,2,Cubic
212,81,Cubic
213,64,Cubic
214,52,Cubic
215,156,Cubic
216,300,Cubic
217,218,Cubic
218,101,Cubic
219,22,Cubic
220,211,Cubic
221,300,Cubic
222,2,Cubic
223,282,Cubic
224,54,Cubic
225,300,Cubic
226,54,Cubic
227,300,Cubic
228,11,Cubic
229,283,Cubic
230,276,Cubic
